:ID,company_name,code,:LABEL
350,宏发股份,600885.SH,company
351,中核科技,000777.SZ,company
352,美亚光电,002690.SZ,company
353,汇丽B,900939.SH,company
354,劲拓股份,300400.SZ,company
355,双成药业,002693.SZ,company
356,名家汇,300506.SZ,company
357,陇神戎发,300534.SZ,company
358,昊华能源,601101.SH,company
359,法狮龙,605318.SH,company
360,诺力股份,603611.SH,company
361,太安堂,002433.SZ,company
362,阳普医疗,300030.SZ,company
363,辽河油田,000817.SZ,company
364,兆丰股份,300695.SZ,company
365,东材科技,601208.SH,company
366,武汉凡谷,002194.SZ,company
367,三五互联,300051.SZ,company
368,长城军工,601606.SH,company
369,海利生物,603718.SH,company
370,*ST百花,600721.SH,company
371,益生股份,002458.SZ,company
372,科隆股份,300405.SZ,company
373,岱美股份,603730.SH,company
374,今创集团,603680.SH,company
375,华锐精密,688059.SH,company
376,恒锋信息,300605.SZ,company
377,盈建科,300935.SZ,company
378,石英股份,603688.SH,company
379,上海瀚讯,300762.SZ,company
380,西域旅游,300859.SZ,company
381,博雅生物,300294.SZ,company
382,波导股份,600130.SH,company
383,南风股份,300004.SZ,company
384,退市海润,600401.SH,company
385,雄韬股份,002733.SZ,company
386,安正时尚,603839.SH,company
387,美力科技,300611.SZ,company
388,德展健康,000813.SZ,company
389,锦旅B股,900929.SH,company
390,恒铭达,002947.SZ,company
391,天地在线,002995.SZ,company
392,中岩大地,003001.SZ,company
393,高乐股份,002348.SZ,company
394,海大集团,002311.SZ,company
395,左江科技,300799.SZ,company
396,中南建设,000961.SZ,company
397,春兰股份,600854.SH,company
398,金利华电,300069.SZ,company
399,中国通号,688009.SH,company
400,华海药业,600521.SH,company
401,首开股份,600376.SH,company
402,中成股份,000151.SZ,company
403,西部牧业,300106.SZ,company
404,中颖电子,300327.SZ,company
405,彩虹集团,003023.SZ,company
406,中国中车,601766.SH,company
407,五矿发展,600058.SH,company
408,晋西车轴,600495.SH,company
409,特一药业,002728.SZ,company
410,奥海科技,002993.SZ,company
411,迪普科技,300768.SZ,company
412,华兴源创,688001.SH,company
413,凯赛生物,688065.SH,company
414,长江传媒,600757.SH,company
415,赛科希德,688338.SH,company
416,深圳机场,000089.SZ,company
417,海兰信,300065.SZ,company
418,佳力图,603912.SH,company
419,洛阳玻璃,600876.SH,company
420,泰山石油,000554.SZ,company
421,振静股份,603477.SH,company
422,八菱科技,002592.SZ,company
423,九强生物,300406.SZ,company
424,包头铝业,600472.SH,company
425,莱宝高科,002106.SZ,company
426,第一创业,002797.SZ,company
427,泰林生物,300813.SZ,company
428,日海智能,002313.SZ,company
429,*ST赫美,002356.SZ,company
430,海南矿业,601969.SH,company
431,芯原股份,688521.SH,company
432,凯盛新材,301069.SZ,company
433,青岛啤酒,600600.SH,company
434,丰原药业,000153.SZ,company
435,吉峰科技,300022.SZ,company
436,天和防务,300397.SZ,company
437,诺普信,002215.SZ,company
438,哈三联,002900.SZ,company
439,蓝特光学,688127.SH,company
440,寒锐钴业,300618.SZ,company
441,孚能科技,688567.SH,company
442,恒立液压,601100.SH,company
443,中科海讯,300810.SZ,company
444,搜于特,002503.SZ,company
445,德尔未来,002631.SZ,company
446,聚石化学,688669.SH,company
447,宇环数控,002903.SZ,company
448,景峰医药,000908.SZ,company
449,润和软件,300339.SZ,company
450,重庆百货,600729.SH,company
451,科顺股份,300737.SZ,company
452,灵康药业,603669.SH,company
453,贵人鸟,603555.SH,company
454,北方稀土,600111.SH,company
455,养元饮品,603156.SH,company
456,青龙管业,002457.SZ,company
457,国泰集团,603977.SH,company
458,沈阳化工,000698.SZ,company
459,青岛双星,000599.SZ,company
460,中电电机,603988.SH,company
461,英联股份,002846.SZ,company
462,读客文化,301025.SZ,company
463,兆易创新,603986.SH,company
464,鲁抗医药,600789.SH,company
465,奥士康,002913.SZ,company
466,光线传媒,300251.SZ,company
467,得润电子,002055.SZ,company
468,重庆水务,601158.SH,company
469,小康股份,601127.SH,company
470,泛微网络,603039.SH,company
471,星云股份,300648.SZ,company
472,东富龙,300171.SZ,company
473,钢研高纳,300034.SZ,company
474,博创科技,300548.SZ,company
475,国创高新,002377.SZ,company
476,协鑫集成,002506.SZ,company
477,华润双鹤,600062.SH,company
478,凯普生物,300639.SZ,company
479,捷成股份,300182.SZ,company
480,中船防务,600685.SH,company
481,北京文化,000802.SZ,company
482,德林海,688069.SH,company
483,蓝海华腾,300484.SZ,company
484,道道全,002852.SZ,company
485,中水渔业,000798.SZ,company
486,宋城演艺,300144.SZ,company
487,世茂股份,600823.SH,company
488,百克生物,688276.SH,company
489,万业企业,600641.SH,company
490,明冠新材,688560.SH,company
491,泸天化,000912.SZ,company
492,*ST游久,600652.SH,company
493,东瑞股份,001201.SZ,company
494,电工合金,300697.SZ,company
495,片仔癀,600436.SH,company
496,亿华通,688339.SH,company
497,*ST盐湖,000792.SZ,company
498,郑州煤电,600121.SH,company
499,熊猫金控,600599.SH,company
500,天宇股份,300702.SZ,company
501,合盛硅业,603260.SH,company
502,维尔利,300190.SZ,company
503,银河磁体,300127.SZ,company
504,泰坦股份,003036.SZ,company
505,延长化建,600248.SH,company
506,创新医疗,002173.SZ,company
507,晨光文具,603899.SH,company
508,牧高笛,603908.SH,company
509,传智教育,003032.SZ,company
510,国光连锁,605188.SH,company
511,胜宏科技,300476.SZ,company
512,紫鑫药业,002118.SZ,company
513,承德钒钛,600357.SH,company
514,二六三,002467.SZ,company
515,锦江股份,600754.SH,company
516,和晶科技,300279.SZ,company
517,洲明科技,300232.SZ,company
518,爱博医疗,688050.SH,company
519,地铁设计,003013.SZ,company
520,中金环境,300145.SZ,company
521,迈得医疗,688310.SH,company
522,东方铁塔,002545.SZ,company
523,银河电子,002519.SZ,company
524,王府井集团,600859.SH,company
525,吉艾科技,300309.SZ,company
526,青岛金王,002094.SZ,company
527,新劲刚,300629.SZ,company
528,以岭药业,002603.SZ,company
529,凯立新材,688269.SH,company
530,天津港,600717.SH,company
531,一汽富维,600742.SH,company
532,中青宝,300052.SZ,company
533,登云股份,002715.SZ,company
534,通化金马,000766.SZ,company
535,安博通,688168.SH,company
536,三变科技,002112.SZ,company
537,中国人保,601319.SH,company
